"nta_name","location_name","latitude","longitude"
"Crown Heights South","Success Academy Crown Heights (Brooklyn 7)","40.665757","-73.949243"
"Manhattanville","I.S. 195 Roberto Clemente","40.819793","-73.956814"
"Central Harlem South","J A Reisenbach Charter School","40.8047","-73.9538"
"Williamsburg","El Puente Academy for Peace and Justice","40.70554","-73.955741"
"Claremont-Bathgate","Bronx Leadership Academy High School","40.84325","-73.902969"
"Hudson Yards-Chelsea-Flatiron-Union Square","Bayard Rustin Educational Complex","40.743407","-74.00254"
"East Tremont","Urban Assembly School for Wildlife Conservation","40.843781","-73.884192"
"Pelham Bay-Country Club-City Island","P.S. 175 City Island","40.844353","-73.78354"
"South Ozone Park","P.S. 096","40.675369","-73.808128"
"Richmond Hill","P.S. 051","40.698286","-73.831532"
"Bensonhurst West","IS 280 Brooklyn Studio School","40.6049","-73.9944"
"Brighton Beach","P.S. K225 - The Eileen E. Zaglin","40.58026","-73.955856"
"Van Nest-Morris Park-Westchester Square","P.S. X012 Lewis and Clark School","40.840625","-73.844685"
"Forest Hills","Forest Hills High School","40.730017","-73.843972"
"Dyker Heights","J.H.S. 259 William McKinley","40.626089","-74.014633"
"Springfield Gardens North","Redwood Middle School","40.675014","-73.775643"
"Upper West Side","M.S. M247 Dual Language Middle School","40.780536","-73.977602"
"Bay Ridge","P.S./I.S. 104 The Fort Hamilton School","40.618077","-74.028492"
"Erasmus","Academy of Hospitality and Tourism","40.649602","-73.957173"
"Pelham Parkway","Bronx High School for the Visual Arts","40.851577","-73.864438"
"Hunters Point-Sunnyside-West Maspeth","P.S. 384","40.748159","-73.940316"
"SoHo-TriBeCa-Civic Center-Little Italy","P.S. 234 Independence School","40.71953","-74.01088"
"Springfield Gardens North","George Washington Carver High School for the Scien","40.66903","-73.757744"
"Flushing","RUPERT B. THOMAS ACADEMY AT THE FLUSHING CAMPUS","40.764892","-73.826811"
"Washington Heights South","M.S. 321 - Minerva","40.839139","-73.935815"
"Battery Park City-Lower Manhattan","P.S. M094","40.706384","-74.017456"
"Van Nest-Morris Park-Westchester Square","P.S. X721 - Stephen McSweeney School","40.842725","-73.839114"
"Central Harlem South","JHS 088 Wadleigh","40.8022","-73.9542"
"Melrose South-Mott Haven North","Storefront Academy Charter School","40.814952","-73.908773"
"Sunset Park West","School of Math, Science, and Healthy Living","40.639518","-74.020343"
"Stuyvesant Heights","Brooklyn Emerging Leaders Academy","40.691467","-73.932254"
"Hunts Point","Emblaze Academy Charter School","40.820102","-73.88819"
"Jamaica","New Dawn Charter High School II","40.706041","-73.799059"
"North Corona","P.S. 019 Marino Jeantet","40.7486","-73.866557"
"East New York","Invictus Preparatory Charter School","40.67002","-73.874537"
"East Tremont","M.S. 129 Academy for Independent Learning and Lead","40.846128","-73.886721"
"Baisley Park","P.S. 123","40.678913","-73.795571"
"East Harlem South","P.S. 108 Assemblyman Angelo Del Toro Educational C","40.795032","-73.947855"
"Soundview-Castle Hill-Clason Point-Harding Park","Archimedes Academy for Math, Science and Technolog","40.815043","-73.85607"
"Longwood","New Visions A.I.M. Charter High School II","40.823124","-73.898265"
"Kew Gardens Hills","I.S. 250 The Robert F. Kennedy Community Middle Sc","40.724195","-73.80938"
"Brighton Beach","P.S. K771","40.58026","-73.955856"
"New Brighton-Silver Lake","I.S. 061 William A Morris","40.634497","-74.097941"
"Far Rockaway-Bayswater","Challenge Preparatory Charter School","40.600137","-73.764065"
"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","Beach Channel High School","40.586012","-73.825317"
"Flushing","Queens High School for Language Studies","40.764892","-73.826811"
"Fordham South","P.S. 209","40.856834","-73.897635"
"Morningside Heights","KIPP STAR College Prep Charter School","40.810793","-73.955722"
"Chinatown","Great Oaks Charter School","40.719676","-73.991859"
"Mariner's Harbor-Arlington-Port Ivory-Graniteville","P.S. 022 Graniteville","40.624847","-74.150544"
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","The Boerum Hill School for International Studies","40.685006","-73.993293"
"Prospect Lefferts Gardens-Wingate","High School for Public Service: Heroes of Tomorrow","40.658671","-73.943839"
"Van Cortlandt Village","Kingsbridge International High School","40.869061","-73.897066"
"Kensington-Ocean Parkway","P.S. 230 Doris L. Cohen","40.645609","-73.980515"
"Park Slope-Gowanus","M.S. 51 William Alexander","40.672358","-73.98505"
"Van Nest-Morris Park-Westchester Square","The STEAM Bridge School","40.843531","-73.865498"
"East New York","Academy for Young Writers","40.657266","-73.874064"
"East New York","P.S. 290 Juan Morel Campos","40.678182","-73.889375"
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Dock Street School for STEAM Studies","40.702952","-73.992076"
"Co-op City","M.S. 180 Dr. Daniel Hale Williams","40.874035","-73.831669"
"Brownsville","P.S. 747 A Great Start Academy","40.672216","-73.906018"
"Hunts Point","Bronx Studio School for Writers and Artists","40.820388","-73.892961"
"Woodhaven","P.S. 064 Joseph P. Addabbo","40.681901","-73.856956"
"Washington Heights North","P.S. 048 P.O. Michael J. Buczek","40.853193","-73.933629"
"Clinton","Independence High School","40.767848","-73.98861"
"Brownsville","Teachers Preparatory High School","40.665568","-73.912102"
"North Corona","Corona Arts & Sciences Academy","40.74592","-73.865239"
"Bushwick South","I.S. 349 Math, Science & Tech.","40.70081","-73.927938"
"Steinway","P.S. 084 Steinway","40.771154","-73.906117"
"Crown Heights South","Medgar Evers College Preparatory School","40.66679","-73.951823"
"Bedford","P.S. 054 Samuel C. Barnes","40.692616","-73.952504"
"Mott Haven-Port Morris","Young Leaders Elementary School","40.80908","-73.919773"
"Richmond Hill","P.S. 055 Maure","40.69361","-73.816156"
"Co-op City","P.S. X176","40.874035","-73.831669"
"East New York","School for Classics High School","40.67002","-73.874537"
"Fordham South","P.S. 079 Creston","40.855337","-73.903139"
"Sunset Park West","PS 314 Luis Munoz Marin","40.6422","-74.019"
"Briarwood-Jamaica Hills","P.S. Q086","40.709461","-73.803001"
"West New Brighton-New Brighton-St. George","P.S. 74 Future Leaders Elementary School","40.638993","-74.079438"
"Far Rockaway-Bayswater","Wave Preparatory Elementary School","40.599467","-73.758587"
"Elmhurst-Maspeth","P.S. 102 Bayview","40.733033","-73.878243"
"Stuyvesant Heights","P.S. 044 Marcus Garvey","40.686213","-73.940859"
"Battery Park City-Lower Manhattan","I.S. 289","40.71701","-74.013967"
"Maspeth","P.S. 009","40.718234","-73.912458"
"SoHo-TriBeCa-Civic Center-Little Italy","P.S. 150","40.71953","-74.01088"
"Fort Greene","P.S. 020 Clinton Hill","40.690742","-73.970896"
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Freedom Academy High School","40.698274","-73.986523"
"Chinatown","Cascades High School","40.722415","-73.990468"
"West Village","P.S. 003 Charrette School","40.732603","-74.005949"
"Charleston-Richmond Valley-Tottenville","I.S. 034 Tottenville","40.5083","-74.2434"
"Central Harlem South","Harlem Village Academy West 2 Charter School","40.80669","-73.945603"
"Springfield Gardens North","Preparatory Academy for Writers: A College Board S","40.66903","-73.757744"
"Bronxdale","Bronx Green Middle School","40.862098","-73.865028"
"Kingsbridge Heights","I.S. 206 Ann Mersereau","40.859534","-73.906285"
"Marble Hill-Inwood","P.S. 018 Park Terrace","40.871456","-73.911732"
"East New York","Achievement First Aspire Charter School","40.665817","-73.876084"
"East Concourse-Concourse Village","William Howard Taft Hs","40.8404","-73.9109"
"Norwood","PS/MS 20 P.O.George J. Werdann, III","40.869482","-73.878731"
"Rugby-Remsen Village","I.S. 252 Arthur S. Somers","40.6583","-73.9201"
"Marble Hill-Inwood","Atmosphere Charter School","40.875161","-73.910426"
"Bensonhurst West","P.S. 205 Clarion","40.614737","-73.986792"
"East Elmhurst","P.S. 127 Aerospace Science Magnet School","40.765507","-73.870931"
"Canarsie","P.S. 66","40.648749","-73.907064"
"Queens Village","P.S. 034 John Harvard","40.710986","-73.737702"
"Marble Hill-Inwood","Bronx Engineering and Technology Academy","40.877379","-73.912686"
"East Harlem North","River East Elementary","40.799265","-73.93374"
"East Village","East Side Community School","40.729152","-73.982472"
"Ocean Hill","I.S. 055 Ocean Hill Brownsville","40.6741","-73.9133"
"Van Cortlandt Village","Luisa Pineiro Fuentes School of Science and Discov","40.869142","-73.901821"
"Bensonhurst West","New Utrecht High School","40.613041","-74.002308"
"SoHo-TriBeCa-Civic Center-Little Italy","NYC iSchool","40.72463","-74.005058"
"Bedford","P.S. K140","40.68192","-73.9456"
"Ocean Hill","P.S./I.S. 137 Rachel Jean Mitchell","40.682248","-73.916641"
"Lower East Side","The Children's Workshop School","40.727537","-73.978254"
"Bayside-Bayside Hills","P.S. 162 John Golden","40.748405","-73.776576"
"Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","I.S. 072 Rocco Laurie","40.592132","-74.158618"
"Melrose South-Mott Haven North","P.S. 001 Courtlandt School","40.819331","-73.919634"
"West Brighton","P.S. 100 The Coney Island School","40.577591","-73.97083"
"West Concourse","Lucero Elementary School","40.8404","-73.915879"
"Sunset Park West","P.S. 371 - Lillian L. Rashkis","40.654306","-74.005168"
"Prospect Lefferts Gardens-Wingate","P.S. 397 Foster-Laurie","40.658663","-73.946358"
"Morrisania-Melrose","P.S. 146 Edward Collins","40.824717","-73.905734"
"Central Harlem North-Polo Grounds","Choir Academy of Harlem","40.807019","-73.938714"
"Washington Heights North","High School for Media and Communications","40.856532","-73.92606"
"Fort Greene","P.S. 046 Edward C. Blum","40.69453","-73.971644"
"Sheepshead Bay-Gerritsen Beach-Manhattan Beach","P.S. 194 Raoul Wallenberg","40.598069","-73.934163"
"Bushwick North","P.S. 116 Elizabeth L Farrell","40.698077","-73.916563"
"Marble Hill-Inwood","P.S. 098 Shorac Kappock","40.867741","-73.917814"
"Mott Haven-Port Morris","Success Academy Charter School - Bronx 1","40.813681","-73.925995"
"Bellerose","P.S./I.S. 266","40.746128","-73.728415"
"Rego Park","P.S. 139 Rego Park","40.728012","-73.862561"
"Rosedale","P.S./M.S. 138 Sunrise","40.659876","-73.734342"
"Pomonok-Flushing Heights-Hillcrest","P.S. 173 Fresh Meadows","40.734097","-73.795651"
"Hudson Yards-Chelsea-Flatiron-Union Square","Baruch College Campus High School","40.741888","-73.985723"
"Bedford","Urban Assembly Young Women's Academy For Math, Sci","40.696698","-73.947557"
"Bushwick South","Success Academy Charter School - Bushwick","40.695975","-73.919653"
"Crotona Park East","Fairmont Neighborhood School","40.834188","-73.886995"
"St. Albans","Success Academy Charter School - Springfield Garde","40.681881","-73.752772"
"Bronxdale","Astor Collegiate Academy","40.860443","-73.860729"
"Parkchester","J.H.S. 127 The Castle Hill","40.838759","-73.853203"
"Bushwick South","Young Women's Leadership School of Brooklyn","40.705005","-73.93879"
"Claremont-Bathgate","Eagle Academy for Young Men","40.845366","-73.897479"
"Bay Ridge","P.S. 185 Walter Kassenbrock","40.623598","-74.033429"
"Fort Greene","M.S. 113 Ronald Edmonds Learning Center","40.688769","-73.971474"
"North Riverdale-Fieldston-Riverdale","P.S. 081 Robert J. Christen","40.903275","-73.904657"
"Upper West Side","West Prep Academy","40.799098","-73.965611"
"East Williamsburg","P.S. 132 The Conselyea School","40.714772","-73.945663"
"New Brighton-Silver Lake","P.S. 018 John G. Whittier","40.636521","-74.116817"
"Gramercy","School of the Future High School","40.739121","-73.985323"
"Co-op City","Cornerstone Academy for Social Action","40.882778","-73.830616"
"Schuylerville-Throgs Neck-Edgewater Park","Herbert H. Lehman High School","40.839775","-73.839583"
"Melrose South-Mott Haven North","P.S. X017","40.818703","-73.905389"
"East Harlem South","P.S. 101 Andrew Draper","40.796098","-73.944546"
"Cambria Heights","Institute for Health Professions at Cambria Height","40.698786","-73.74633"
"College Point","P.S. 029 Queens","40.778029","-73.842967"
"Clinton Hill","Community Partnership Charter School","40.691275","-73.961134"
"Carroll Gardens-Columbia Street-Red Hook","MS 378 Carroll Gardens C.S","40.6801","-74.0014"
"Seagate-Coney Island","P.S. 329 Surfside","40.574666","-73.99577"
"Longwood","Bronx Regional High School","40.823124","-73.898265"
"East Village","P.S. 019 Asher Levy","40.730009","-73.984496"
"East Tremont","PS 257 Children's School","40.8486","-73.8937"
"Central Harlem North-Polo Grounds","People's School Of The Arts","40.817228","-73.947151"
"Bushwick South","P.S. 075 Mayda Cortiella","40.693261","-73.921336"
"Crown Heights North","Launch Expeditionary Learning Charter School","40.675675","-73.935093"
"Melrose South-Mott Haven North","University Heights Secondary School","40.818041","-73.911633"
"Springfield Gardens North","Langston Hughes High School For Communication Arts","40.6682","-73.7569"
"Claremont-Bathgate","Validus Preparatory Academy","40.839508","-73.901774"
"Mount Hope","Theatre Arts Production Company School","40.854257","-73.897404"
"Morrisania-Melrose","School for Tourism and Hospitality","40.821723","-73.902892"
"Soundview-Castle Hill-Clason Point-Harding Park","Women's Academy of Excellence","40.815043","-73.85607"
"Mott Haven-Port Morris","New Visions Charter High School for the Humanities","40.810671","-73.907528"
"Clinton","P.S. 212 Midtown West","40.761327","-73.988665"
"Upper West Side","P.S. 145, The Bloomingdale School","40.799098","-73.965611"
"East Flatbush-Farragut","P.S. 135 Sheldon A. Brookner","40.653093","-73.932949"
"Washington Heights North","The Equity Project Charter School (TEP)","40.856532","-73.92606"
"Bushwick South","P.S. 196 Ten Eyck","40.708804","-73.939385"
"Longwood","New School for Arts and Science","40.8175","-73.8982"
"Longwood","PS 39","40.8175","-73.8982"
"Battery Park City-Lower Manhattan","New York City Charter School of the Arts","40.705688","-74.013303"
"Annadale-Huguenot-Prince's Bay-Eltingville","I.S. 007 Elias Bernstein","40.522971","-74.186096"
"Williamsbridge-Olinville","Academy for Scholarship and Entrepreneurship: A Co","40.888242","-73.852714"
"Mott Haven-Port Morris","M.S. 203","40.813681","-73.925995"
"Sunset Park West","P.S. K053","40.660805","-73.988743"
"Bronxdale","Collegiate Institute for Math and Science","40.860443","-73.860729"
"Morrisania-Melrose","Mott Hall III","40.83447","-73.900654"
"Brownsville","Leadership Preparatory Ocean Hill Charter School","40.672216","-73.906018"
"Bensonhurst East","I.S. 228 David A. Boody","40.60066","-73.976801"
"Bedford Park-Fordham North","P.S. 046 Edgar Allan Poe","40.867169","-73.890402"
"South Jamaica","P.S. 040 Samuel Huntington","40.693559","-73.790975"
"Springfield Gardens North","New HS at Q400 (August Martin)","40.673949","-73.782684"
"Soundview-Castle Hill-Clason Point-Harding Park","Felisa Rincon de Gautier Institute for Law and Pub","40.820486","-73.881187"
"Laurelton","P.S. 132 Ralph Bunche","40.681948","-73.7493"
"Prospect Heights","P.S. 009 Teunis G. Bergen","40.678554","-73.966333"
"Rugby-Remsen Village","P.S. 398 Walter Weaver","40.663388","-73.927979"
"Flushing","P.S. 214 Cadwallader Colden","40.770215","-73.827606"
"South Ozone Park","P.S. 124 Osmond A Church","40.665669","-73.811266"
"Mariner's Harbor-Arlington-Port Ivory-Graniteville","P.S. 044 Thomas C. Brown","40.631689","-74.157303"
"Clinton","High School of Graphic Communication Arts","40.763655","-73.990318"
"University Heights-Morris Heights","Academy for Language and Technology","40.849416","-73.915217"
"Windsor Terrace","Brooklyn Prospect Charter School","40.647893","-73.97872"
"Sheepshead Bay-Gerritsen Beach-Manhattan Beach","New Visions Charter High School for the Humanities","40.593157","-73.936635"
"East Concourse-Concourse Village","P.S./M.S. 031 The William Lloyd Garrison","40.822574","-73.92114"
"West Farms-Bronx River","P.S. 536","40.838151","-73.866038"
"Mount Hope","P.S. 163 Arthur A. Schomburg","40.8517","-73.899005"
"Crown Heights South","Brooklyn Academy of Science and the Environment","40.669805","-73.960689"
"North Side-South Side","P.S. 319","40.709632","-73.953881"
"Crown Heights North","Explore Exceed Charter School","40.6771","-73.960093"
"Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","New Visions Charter High School for the Humanities","40.586012","-73.825317"
"Hunts Point","P.S. 75 School of Research and Discovery","40.822314","-73.888948"
"Richmond Hill","P.S. 161 Arthur Ashe School","40.690439","-73.82108"
"East New York","East New York Elementary School of Excellence","40.669358","-73.879131"
"St. Albans","P.S. 036 Saint Albans School","40.691306","-73.764081"
"Stuyvesant Heights","P.S. 059 William Floyd","40.697619","-73.943279"
"Bedford","Upper Academy At Ps 23","40.6941","-73.9476"
"Laurelton","Merrick Academy - Queens Public Charter School","40.676318","-73.753009"
"Morningside Heights","J.H.S. 054 Booker T. Washington","40.8007","-73.96327"
"East Harlem South","M.S. 224 Manhattan East School for Arts & Academic","40.785107","-73.942154"
"Glendale","P.S./I.S. 113 Anthony J. Pranzo","40.705476","-73.861493"
"Carroll Gardens-Columbia Street-Red Hook","PAVE Academy Charter School","40.675936","-74.003372"
"Brownsville","P.S. 332 Charles H. Houston","40.672216","-73.906018"
"Williamsburg","Beginning with Children Charter School II","40.703996","-73.953304"
"Far Rockaway-Bayswater","Knowledge and Power Preparatory Academy VI","40.601537","-73.763995"
"Clinton Hill","P.S. 270 Johann DeKalb","40.691275","-73.961134"
"Baisley Park","P.S. 140 Edward K Ellington","40.687486","-73.781255"
"Bensonhurst East","P.S. 177 The Marlboro","40.608169","-73.974425"
"Stuyvesant Heights","M.S. 143 Performing & Fine Arts","40.6883","-73.932"
"Borough Park","P.S. 131 Brooklyn","40.640728","-73.993247"
"Bedford","P.S. 297 Abraham Stockton","40.697377","-73.948166"
"East Flatbush-Farragut","P.S. 198 Brooklyn","40.637601","-73.937083"
"Central Harlem North-Polo Grounds","Academy of Collaborative Education","40.814917","-73.945838"
"East New York","P.S. 213 New Lots","40.659845","-73.889968"
"Stapleton-Rosebank","I.S. 49 Berta A. Dreyfus","40.620443","-74.080695"
"Stuyvesant Heights","M.S. 035 Stephen Decatur","40.681528","-73.935891"
"Claremont-Bathgate","Success Academy Charter School - Bronx 2","40.835934","-73.90497"
"Borough Park","P.S. K231","40.626454","-73.98925"
"Hamilton Heights","P.S. 153 Adam Clayton Powell","40.826514","-73.947599"
"Erasmus","Academy for College Preparation and Career Explora","40.649602","-73.957173"
"Rugby-Remsen Village","I.S. 285 Meyer Levin","40.647818","-73.920784"
"Charleston-Richmond Valley-Tottenville","P.S. 001 Tottenville","40.508638","-74.24395"
"Queensbridge-Ravenswood-Long Island City","Baccalaureate School for Global Education","40.754975","-73.926977"
"Elmhurst-Maspeth","The 51 Avenue Academy (The Path To Academic Excell","40.737222","-73.887011"
"Manhattanville","A. Philip Randolph Campus High School","40.8185","-73.949929"
"Flushing","I.S. 237","40.74943","-73.821402"
"Battery Park City-Lower Manhattan","Richard R. Green High School of Teaching","40.705688","-74.013303"
"North Side-South Side","Williamsburg High School for Architecture and Desi","40.715561","-73.954815"
"Norwood","Bedford Park Elementary School","40.872559","-73.875375"
"Flatbush","P.S. 139 Alexine A. Fenty","40.64134","-73.965862"
"Mott Haven-Port Morris","Academy of Applied Mathematics and Technology","40.810314","-73.918774"
"Van Nest-Morris Park-Westchester Square","P.S./M.S. 11X498 - Van Nest Academy","40.845023","-73.857989"
"North Corona","Pioneer Academy","40.749175","-73.865787"
"East Harlem North","Urban Peace Academy","40.799265","-73.93374"
"Seagate-Coney Island","Mark Twain I.S. 239 for the Gifted & Talented","40.57864","-73.992447"
"Borough Park","P.S. 121 Nelson A. Rockefeller","40.622671","-73.978472"
"Soundview-Castle Hill-Clason Point-Harding Park","School for Community Research and Learning","40.821218","-73.85593"
"West Concourse","P.S. 064 Pura Belpre","40.8404","-73.915879"
"Jackson Heights","P.S. 398","40.752773","-73.896705"
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Khalil Gibran International Academy","40.686147","-73.979829"
"Williamsbridge-Olinville","Bronx Charter School for Excellence 3","40.888351","-73.862924"
"West New Brighton-New Brighton-St. George","P.S. 016 John J. Driscoll","40.639638","-74.079594"
"Hudson Yards-Chelsea-Flatiron-Union Square","Sixth Avenue Elementary School","40.739145","-73.995534"
"East Flatbush-Farragut","P.S. 208 Elsa Ebeling","40.6427","-73.930898"
"Melrose South-Mott Haven North","University Prep Charter High School","40.814857","-73.912038"
"West Farms-Bronx River","P.S. 102 Joseph O. Loretan","40.838151","-73.866038"
"Washington Heights North","I.S. 218 Salome Urena","40.860951","-73.930082"
"East Harlem North","P.S. 096 Joseph Lanzetta","40.79969","-73.937179"
"Cambria Heights","Business, Computer Applications & Entrepreneurship","40.698786","-73.74633"
"South Jamaica","York Early College Academy","40.69691","-73.786403"
"Springfield Gardens North","Excelsior Preparatory High School","40.66903","-73.757744"
"Crown Heights North","M.S. 584","40.674491","-73.928673"
"Flushing","Flushing High School","40.764892","-73.826811"
"Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","Space Shuttle Columbia School","40.582791","-74.160867"
"Westerleigh","P.S. 030 Westerleigh","40.618097","-74.13308"
"Stuyvesant Heights","Brighter Choice Community School","40.693654","-73.941278"
"Fordham South","M.S. 399","40.859496","-73.90049"
"Ridgewood","A.C.E. Academy for Scholars at the Geraldine Ferra","40.71303","-73.908307"
"East Harlem North","Renaissance School of the Arts","40.797507","-73.935895"
"University Heights-Morris Heights","I.S. 232","40.849416","-73.915217"
"Hunters Point-Sunnyside-West Maspeth","Information Technology High School","40.748502","-73.946488"
"Hunters Point-Sunnyside-West Maspeth","Academy for Careers in Television and Film","40.742964","-73.959183"
"Morrisania-Melrose","P186X Walter J. Damrosch School","40.831388","-73.897797"
"Bellerose","Martin Van Buren High School","40.733888","-73.739726"
"Oakland Gardens","J.H.S. 074 Nathaniel Hawthorne","40.744743","-73.766653"
"East Harlem South","Tag Young Scholars","40.792556","-73.942285"
"Crown Heights North","KIPP AMP Charter School","40.67229","-73.937601"
"Central Harlem North-Polo Grounds","P.S. 123 Mahalia Jackson","40.820216","-73.944551"
"Battery Park City-Lower Manhattan","High School of Economics and Finance","40.70927","-74.012328"
"University Heights-Morris Heights","The Bronx School of Young Leaders","40.850722","-73.910827"
"Flatbush","P.S. K134","40.632145","-73.97318"
"Morrisania-Melrose","Bronx International High School","40.827455","-73.90392"
"Bushwick South","I.S. 347 School of Humanities","40.70081","-73.927938"
"Stuyvesant Heights","Madiba Prep Middle School","40.6921","-73.9317"
"Brownsville","Brownsville Academy High School","40.666251","-73.923881"
"Corona","P.S. 014 Fairview","40.74102","-73.85457"
"Ocean Hill","I.S. 271 John M. Coleman","40.6827","-73.9171"
"Mott Haven-Port Morris","Heketi Community Charter School","40.8091","-73.909595"
"Brownsville","Frederick Douglass Academy VII High School","40.665568","-73.912102"
"Marble Hill-Inwood","Marble Hill High School for International Studies","40.877379","-73.912686"
"Williamsbridge-Olinville","Bronx High School for Writing and Communication Ar","40.875172","-73.861649"
"Forest Hills","P.S. Q233","40.708431","-73.855543"
"West Farms-Bronx River","P.S. 047 John Randolph","40.832529","-73.866974"
"St. Albans","P.S. 360","40.702329","-73.756259"
"Morrisania-Melrose","Mott Hall Charter School","40.83093","-73.901859"
"Washington Heights North","City College Academy of the Arts","40.860951","-73.930082"
"Douglas Manor-Douglaston-Little Neck","P.S. Q811","40.756481","-73.728412"
"West Brighton","Rachel Carson High School for Coastal Studies","40.582518","-73.972009"
"Hunts Point","Accion Academy","40.822056","-73.894368"
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Science Skills Center High School for Science, Tec","40.69733","-73.984528"
"Westerleigh","P.S. 029 Bardwell","40.614039","-74.116197"
"Hunts Point","The Hunts Point School","40.815827","-73.885284"
"Bushwick South","East Williamsburg Scholars Academy","40.711134","-73.938921"
"Springfield Gardens North","Voyages Prep - South Queens","40.673949","-73.782684"
"Belmont","Crotona International High School","40.855392","-73.882487"
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Brooklyn High School of the Arts","40.683951","-73.980266"
"Central Harlem North-Polo Grounds","P.S. 154 Harriet Tubman","40.810499","-73.948902"
"Great Kills","P.S. 8 Shirlee Solomon","40.547567","-74.152212"
"Kensington-Ocean Parkway","P.S. 889","40.644861","-73.97101"
"park-cemetery-etc-Brooklyn","Academy of Innovative Technology","40.693002","-73.869305"
"Hunters Point-Sunnyside-West Maspeth","Bard High School Early College Queens","40.744175","-73.937004"
"Sheepshead Bay-Gerritsen Beach-Manhattan Beach","Professional Pathways High School","40.593157","-73.936635"
"Mott Haven-Port Morris","H.E.R.O. High (Health, Education, and Research Occ","40.810671","-73.907528"
"Canarsie","Brooklyn Bridge Academy","40.634451","-73.916927"
"Bedford","J.H.S. 258 David Ruggles","40.6816","-73.9454"
"East Tremont","J.H.S. 118 William W. Niles","40.848702","-73.892482"
"Longwood","Arturo A. Schomburg Satellite Academy Bronx","40.823124","-73.898265"
"Longwood","Collegiate Preparatory Academy At Longwood","40.817741","-73.897876"
"Far Rockaway-Bayswater","Queens High School for Information, Research, and","40.601537","-73.763995"
"Crotona Park East","E.S.M.T- I.S. 190","40.836156","-73.892784"
"Melrose South-Mott Haven North","Mott Haven Village Preparatory High School","40.818041","-73.911633"
"Upper West Side","Success Academy Charter School - Upper West","40.786134","-73.974483"
"Eastchester-Edenwald-Baychester","Bronx Alliance Middle School","40.886002","-73.839682"
"Jackson Heights","I.S. 230","40.752618","-73.892883"
"Bay Ridge","Fort Hamilton High School","40.626827","-74.038103"
"New Springville-Bloomfield-Travis","P.S. 026 The Carteret School","40.591546","-74.190093"
"Bedford Park-Fordham North","P.S. 008 Isaac Varian","40.872259","-73.883339"
"West Village","School for the Physical City High School","40.736416","-73.995731"
"Mott Haven-Port Morris","The Urban Assembly Bronx Academy of Letters","40.813681","-73.925995"
"East Harlem South","Tito Puente Education Complex","40.792556","-73.942285"
"East Concourse-Concourse Village","Science and Technology Academy: A Mott Hall School","40.828009","-73.917705"
"Bronxdale","Christopher Columbus High School","40.860443","-73.860729"
"Bedford","The Ethical Community Charter School (TECCS)","40.697377","-73.948166"
"East Harlem North","P.S. 138","40.805653","-73.935461"
"Steinway","P.S. 002 Alfred Zimberg","40.769798","-73.894108"
"Soundview-Bruckner","Bold Charter School","40.825121","-73.881894"
"Bay Ridge","High School of Telecommunication Arts and Technolo","40.636721","-74.023419"
"Far Rockaway-Bayswater","P.S. 253","40.607247","-73.748799"
"Norwood","Bronx Dance Academy School","40.885428","-73.878051"
"Bath Beach","P.S. 200 Benson School","40.602809","-74.001915"
"Prospect Lefferts Gardens-Wingate","Middle School of Marketing and Legal Studies","40.659088","-73.928744"
"Jamaica Estates-Holliswood","P.S./ IS 178 Holliswood","40.724061","-73.777314"
"East Harlem North","P.S. 155 William Paca","40.797507","-73.935895"
"Oakland Gardens","P.S. 205 Alexander Graham Bell","40.738008","-73.756374"
"Baisley Park","P.S. 045 Clarence Witherspoon","40.671871","-73.788866"
"East Harlem South","Mosaic Preparatory Academy","40.796098","-73.944546"
"Bushwick South","P.S. 377 Alejandrina B. De Gautier","40.693542","-73.915159"
"Brownsville","P.S. 041 Francis White","40.660455","-73.906925"
"East New York","Collegiate Academy for Math and Personal Awareness","40.65787","-73.888775"
"Hudson Yards-Chelsea-Flatiron-Union Square","Quest to Learn","40.743407","-74.00254"
"Soundview-Castle Hill-Clason Point-Harding Park","Bronx Arena High School","40.820486","-73.881187"
"Williamsbridge-Olinville","P.S. 103 Hector Fontanez","40.892198","-73.86194"
"Gramercy","Institute for Collaborative Education","40.732665","-73.98259"
"Gravesend","Life Academy High School for Film and Music","40.593028","-73.986313"
"Morrisania-Melrose","Urban Scholars Community School","40.828406","-73.900121"
"East New York (Pennsylvania Ave)","Hyde Leadership Charter School- Brooklyn","40.667985","-73.898249"
"Old Town-Dongan Hills-South Beach","P.S. 052 John C. Thompson","40.58255","-74.089012"
"Brownsville","HS Of Redirection","40.6659","-73.9117"
"East New York","The Uft Charter School","40.659934","-73.885704"
"Fort Greene","Fort Greene Preparatory Academy","40.69453","-73.971644"
"Central Harlem South","PS 162m","40.8025","-73.9467"
