borough,vehicle_type_code1,vehicle_type_total
QUEENS,PEDICAB,2
QUEENS,PERM,1
QUEENS,PICK-UP TRUCK,1684
QUEENS,PICKU,2
QUEENS,PK,166
QUEENS,POSTA,2
QUEENS,POSTAL TRU,1
QUEENS,POWER LADD,1
QUEENS,PS,1
QUEENS,Pallet,4
QUEENS,Pedicab,1
QUEENS,Pick up,2
QUEENS,Pick up Tr,1
QUEENS,Pick-up Truck,4953
QUEENS,Pickup with mounted Camper,3
QUEENS,Posta,2
QUEENS,Postal tru,1
QUEENS,Power Shov,1
QUEENS,Quality tr,1
QUEENS,REP,2
QUEENS,RMP,1
QUEENS,RV/VAN,1
QUEENS,Refrigerated Van,32
QUEENS,SANIT,2
QUEENS,SANITATION,1
QUEENS,SCHOO,9
QUEENS,SCHOOL BUS,1
QUEENS,SCOOT,10
QUEENS,SCOOTER,27
QUEENS,SELF,2
QUEENS,SELF INSUR,2
QUEENS,SEMI,2
QUEENS,SKID-,1
QUEENS,SLINGSHOT,1
QUEENS,SMALL COM VEH(4 TIRES) ,1911
QUEENS,SPECIAL CO,1
QUEENS,SPORT UTILITY / STATION WAGON,38074
QUEENS,ST150,1
QUEENS,STAK,1
QUEENS,STREE,2
QUEENS,SUBURBAN,1
QUEENS,SWT,1
QUEENS,Schoo,1
QUEENS,School Bus,21
QUEENS,School bus,1
QUEENS,Sedan,79442
QUEENS,Snow Plow,16
QUEENS,Sprin,1
QUEENS,Stake or Rack,14
QUEENS,Station Wagon/Sport Utility Vehicle,69344
QUEENS,Street Swe,1
QUEENS,TANK,5
QUEENS,TANKE,1
QUEENS,TAXI,1966
QUEENS,TOW T,8
QUEENS,TOWTR,2
QUEENS,TRAC,4
QUEENS,TRACT,10
QUEENS,TRACTOR,1
QUEENS,TRAIL,39
QUEENS,TRAILEE,1
QUEENS,TRAILER,10
QUEENS,TRALI,1
QUEENS,TRK,1
QUEENS,TRL,2
QUEENS,TRLR,1
QUEENS,TRUCK,12
QUEENS,TTAILER,1
QUEENS,Tanker,86
QUEENS,Taxi,3161
QUEENS,Tow T,2
QUEENS,Tow Truck,3
QUEENS,Tow Truck / Wrecker,142
QUEENS,Tow t,2
QUEENS,Tractor,1
QUEENS,Tractor Truck Diesel,968
QUEENS,Tractor Truck Gasoline,123
QUEENS,Trail,9
QUEENS,Trailer,2
QUEENS,Truck,2
QUEENS,U-HAU,1
QUEENS,UNK,6
QUEENS,UNKNO,6
QUEENS,UNKNOWN,4501
QUEENS,UNKOW,1
QUEENS,UPS t,1
QUEENS,US,1
QUEENS,US PO,1
QUEENS,USPOS,1
QUEENS,USPS,9
QUEENS,USPS # 487,1
QUEENS,USPS MAIL,1
QUEENS,UTIL,4
QUEENS,UTILI,7
QUEENS,UTILITY TR,1
QUEENS,UTILITY VE,1
QUEENS,Unkno,1
QUEENS,VAB,1
QUEENS,VAN,3773
QUEENS,VAN/B,1
QUEENS,VAN/T,1
QUEENS,VAN/TRUCK,1
QUEENS,VAV,1
QUEENS,VERIZ,1
QUEENS,Van,619
QUEENS,Van Camper,3
QUEENS,Vanette,1
QUEENS,Well Driller,3
QUEENS,White,1
QUEENS,Work,1
QUEENS,YELLOWPOWE,1
QUEENS,amb,2
QUEENS,ambu,4
QUEENS,ambul,12
QUEENS,ambulance,4
QUEENS,atv p,1
QUEENS,backh,1
QUEENS,bobca,1
QUEENS,box t,4
QUEENS,bulld,1
QUEENS,bus,5
QUEENS,cemen,1
QUEENS,cm,1
QUEENS,com,3
QUEENS,comme,1
QUEENS,con ed tru,1
QUEENS,deliv,2
QUEENS,delv,1
QUEENS,dilevery t,1
QUEENS,dirt,1
QUEENS,dirtb,1
QUEENS,dodge,1
QUEENS,dump,6
QUEENS,dump truck,2
QUEENS,e com,1
QUEENS,e-bik,1
QUEENS,east,1
QUEENS,escavator,1
QUEENS,fd tr,1
QUEENS,fdny,5
QUEENS,fire,8
QUEENS,firet,3
QUEENS,firetruck,3
QUEENS,flatb,1
QUEENS,food,1
QUEENS,ford van,1
QUEENS,fork,2
QUEENS,forkl,1
QUEENS,forklift,1
QUEENS,forlift,1
QUEENS,freig,2
QUEENS,g scl,1
QUEENS,garba,2
QUEENS,gokar,1
QUEENS,icecr,1
QUEENS,inter,1
QUEENS,ladde,1
QUEENS,mack,1
QUEENS,mail,3
QUEENS,mc,1
QUEENS,mopad,1
QUEENS,moped,3
QUEENS,motor,1
QUEENS,mta B,1
QUEENS,mta b,1
QUEENS,nyc EMS,1
QUEENS,nycha,1
QUEENS,nyfd,1
QUEENS,omnib,1
QUEENS,omt,1
QUEENS,other,1
QUEENS,p/sh,1
QUEENS,pas,1
QUEENS,pay loader,1
QUEENS,pick,2
QUEENS,posta,2
QUEENS,postal tru,1
QUEENS,postal van,1
QUEENS,power,1
QUEENS,ram,1
QUEENS,red t,1
QUEENS,rmb,1
QUEENS,sanit,1
QUEENS,sanitaion,1
QUEENS,schoo,3
QUEENS,scoo,1
QUEENS,scooc,1
QUEENS,scoot,3
QUEENS,scooter,1
QUEENS,seagr,1
QUEENS,sedan,3
QUEENS,self,2
QUEENS,semi,1
QUEENS,stree,3
QUEENS,subn,2
QUEENS,suv,1
QUEENS,te,1
QUEENS,tk,1
QUEENS,tow,2
QUEENS,tow t,1
QUEENS,tow truck,1
QUEENS,tr,1
QUEENS,tract,5
QUEENS,trail,11
QUEENS,trailer,1
QUEENS,trk,1
QUEENS,trl,1
QUEENS,truck,8
QUEENS,unk,1
QUEENS,unkno,1
QUEENS,unknown,1
QUEENS,ups t,1
QUEENS,usps,6
QUEENS,usps truck,1
QUEENS,util,1
QUEENS,utili,2
QUEENS,van,35
QUEENS,van w,1
QUEENS,work,1
QUEENS,yello,1
QUEENS,yy,1
STATEN ISLAND,2 dr sedan,70
STATEN ISLAND,3-Door,5
STATEN ISLAND,4 RUN,1
STATEN ISLAND,4 dr sedan,937
STATEN ISLAND,4D,2
STATEN ISLAND,4DR,2
STATEN ISLAND,4DS,2
STATEN ISLAND,AMBU,1
STATEN ISLAND,AMBUL,2
STATEN ISLAND,AMBULANCE,33
STATEN ISLAND,Ambulance,24
STATEN ISLAND,BICYCLE,4
STATEN ISLAND,BK,1
STATEN ISLAND,BOBCA,1
STATEN ISLAND,BOX T,1
STATEN ISLAND,BUS,329
STATEN ISLAND,Beverage Truck,2
STATEN ISLAND,Bike,95
STATEN ISLAND,Box Truck,117
STATEN ISLAND,Bulk Agriculture,1
STATEN ISLAND,Bus,219
STATEN ISLAND,CITY,1
STATEN ISLAND,COM,1
STATEN ISLAND,CRANE,1
STATEN ISLAND,Carry All,25
STATEN ISLAND,Chassis Cab,6
STATEN ISLAND,Concrete Mixer,3
STATEN ISLAND,Convertible,73
STATEN ISLAND,DUMP,4
STATEN ISLAND,Dump,39
STATEN ISLAND,E-Bike,1
STATEN ISLAND,ENGIN,1
STATEN ISLAND,Excavator,1
STATEN ISLAND,FDNY,4
STATEN ISLAND,FDNY ENGIN,1
STATEN ISLAND,FEDEX,1
STATEN ISLAND,FIRE,4
STATEN ISLAND,FIRE TRUCK,23
STATEN ISLAND,FIRET,1
STATEN ISLAND,FIRETRUCK,1
STATEN ISLAND,FIRTRUCK,1
STATEN ISLAND,FORK-,1
STATEN ISLAND,FORKLIFT,1
STATEN ISLAND,FRHT,2
STATEN ISLAND,Fd fi,1
STATEN ISLAND,Flat Bed,13
STATEN ISLAND,G AMB,1
STATEN ISLAND,GARBA,2
STATEN ISLAND,Garbage or Refuse,17
STATEN ISLAND,Horse Trai,1
STATEN ISLAND,LARGE COM VEH(6 OR MORE TIRES),95
STATEN ISLAND,LIMO,1
STATEN ISLAND,LIVERY VEHICLE,23
STATEN ISLAND,Lift Boom,1
STATEN ISLAND,MAIL,1
STATEN ISLAND,MAXIM,1
STATEN ISLAND,MOTORCYCLE,95
STATEN ISLAND,Minibike,1
STATEN ISLAND,Motorbike,3
STATEN ISLAND,Motorcycle,115
STATEN ISLAND,Motorscooter,1
STATEN ISLAND,Multi-Wheeled Vehicle,3
STATEN ISLAND,NO/BU,1
STATEN ISLAND,OMR,2
STATEN ISLAND,OTHER,565
STATEN ISLAND,Open Body,4
STATEN ISLAND,PAS,11
STATEN ISLAND,PASS,2
STATEN ISLAND,PASSENGER VEHICLE,16841
STATEN ISLAND,PC,2
STATEN ISLAND,PICK-UP TRUCK,535
STATEN ISLAND,PK,24
STATEN ISLAND,POIS,1
STATEN ISLAND,POSTA,1
STATEN ISLAND,POWER,1
STATEN ISLAND,PSH,1
STATEN ISLAND,Pick-up Truck,942
STATEN ISLAND,REFG,1
STATEN ISLAND,REFRI,1
STATEN ISLAND,RV,2
STATEN ISLAND,Refrigerated Van,5
STATEN ISLAND,SANIT,2
STATEN ISLAND,SCHOO,1
STATEN ISLAND,SCHOOL BUS,1
STATEN ISLAND,SCOOTER,3
STATEN ISLAND,SEDAN,1
STATEN ISLAND,SERVI,1
STATEN ISLAND,SHUTTLE BU,1
STATEN ISLAND,SMALL COM VEH(4 TIRES) ,129
STATEN ISLAND,SPORT UTILITY / STATION WAGON,7766
STATEN ISLAND,SUB,2
STATEN ISLAND,SUV,2
STATEN ISLAND,SW,1
STATEN ISLAND,SYBN,1
STATEN ISLAND,School Bus,11
STATEN ISLAND,Sedan,12907
STATEN ISLAND,Snow Plow,4
STATEN ISLAND,Station Wagon/Sport Utility Vehicle,7617
STATEN ISLAND,TANK,1
STATEN ISLAND,TAXI,13
STATEN ISLAND,TRAC,1
STATEN ISLAND,TRAC.,1
STATEN ISLAND,TRACT,1
STATEN ISLAND,TRAIL,2
STATEN ISLAND,TRANS,1
STATEN ISLAND,TRK,1
STATEN ISLAND,TRUCK,6
STATEN ISLAND,Tanker,5
STATEN ISLAND,Taxi,57
STATEN ISLAND,Tow Truck,1
STATEN ISLAND,Tow Truck / Wrecker,8
STATEN ISLAND,Tractor Truck Diesel,30
STATEN ISLAND,Tractor Truck Gasoline,14
STATEN ISLAND,Trail,2
STATEN ISLAND,UNKN,1
STATEN ISLAND,UNKNO,10
STATEN ISLAND,UNKNOWN,570
STATEN ISLAND,UPS M,1
STATEN ISLAND,US,1
STATEN ISLAND,USPS,3
STATEN ISLAND,UTILI,1
STATEN ISLAND,VAN,466
STATEN ISLAND,Van,77
STATEN ISLAND,WAGON,2
STATEN ISLAND,YELLO,1
STATEN ISLAND,ambul,1
STATEN ISLAND,bobca,1
STATEN ISLAND,bus,1
STATEN ISLAND,cater,1
STATEN ISLAND,comm,1
STATEN ISLAND,dirt,1
STATEN ISLAND,dump,1
STATEN ISLAND,garba,2
STATEN ISLAND,posta,1
STATEN ISLAND,sanit,1
STATEN ISLAND,trail,3
STATEN ISLAND,trailer,1
STATEN ISLAND,unkno,1
STATEN ISLAND,usps,1
STATEN ISLAND,van,3
STATEN ISLAND,van t,1
