vehicle_type_code1,vehicle_type_total
Mo pa,1
Moped,394
Motor,3
Motor Home,2
Motorbike,209
Motorcycle,3364
Motorized Home,15
Motorscoot,1
Motorscooter,304
Mta,1
Multi-Wheeled Vehicle,46
NAVIG,2
NEW Y,2
NISSA,2
NO/BU,1
NOT I,1
NS AM,1
NT TR,1
NTTRL,1
NYC AMBULA,2
NYC D,1
NYC F,2
NYC FD,1
NYC SANITA,1
NYC a,1
NYCHA,1
NYPD,3
NYPD VAN,1
NYS A,1
NYS Ambula,1
Nypd,1
OIL T,1
OLC,1
OML,5
OML/OMNIBU,1
OMNIB,4
OMR,11
OMT,5
OMT/T,1
OTHER,18135
OZ MO,1
Open Body,35
P/SH,6
PAS,19
PAS V,1
PASS,4
PASSE,1
PASSENGER,2
PASSENGER VEHICLE,310353
PC,6
PEDICAB,21
PERM,1
PET,1
PICK UP,1
PICK UP TR,3
PICK-,1
PICK-UP TRUCK,8634
PICKU,8
PICKUP,2
PICKUP TRU,1
PK,1164
POIS,1
POLIC,1
POSTA,9
POSTAL TRU,2
POSTAL VEH,1
POSTO,1
POWER,7
POWER LADD,1
POWER SHOV,2
PRIVA,1
PS,1
PSD,8
PSH,1
PSP,1
PU,1
PUMP,1
PUSH SCOOT,1
Pallet,20
Parce,1
Pas,1
Pavin,2
Pedicab,24
Pick,5
Pick up,3
Pick up Tr,1
Pick up tr,2
Pick wh,1
Pick-,1
Pick-up Truck,17345
Picku,1
Pickup with mounted Camper,34
Posta,3
Postal tru,1
Power,1
Power Shov,1
Pumper,1
Quality tr,1
R/V,1
R/V C,1
RD/S,1
REFG,10
REFR,1
REFRI,3
RENTA,1
REP,3
REPAI,1
RESCU,1
RGS,1
RINGO,1
RMP,2
ROAD,3
ROAD SWEEP,1
ROOD,1
RV,9
RV/Tr,1
RV/VAN,1
Ram Promas,1
Refrigerated Van,252
Renta,1
Rescu,3
Road,1
SANIT,11
SANITATION,1
SANMEN COU,1
SANTI,1
SC,1
SCHOO,31
SCHOOL BUS,5
SCOM,1
SCOMM,1
SCOO,1
SCOOT,29
SCOOTER,219
SD,1
SE,2
SEA,1
SEDAN,6
SEGWA,1
SELF,12
SELF INSUR,3
SELF-,1
SEMI,7
SEMI TRAIL,1
SEMI-,1
SERVI,1
SHUTTLE BU,1
SKATE,1
SKATEBOARD,1
SKID LOADE,1
SKID-,1
SKYWATCH,1
SLINGSHOT,1
SM YW,1
SMALL COM VEH(4 TIRES) ,10759
SMART CAR,1
SNOW PLOW,1
SPARK150 S,1
SPC,4
SPECIAL CO,1
SPORT UTILITY / STATION WAGON,134207
SPRIN,5
ST150,1
STAK,5
STERL,1
STREE,14
SUB,2
SUBN - AMB,1
SUBR,1
SUBUR,3
SUBURBAN,1
SURET,1
SUV,5
SW,1
SWEEP,1
SWT,2
SYBN,1
Sanit,5
Sanitation,1
Schoo,4
School Bus,112
School bus,1
Scoot,6
Scooter,5
Sedan,279292
Self,2
Semi,1
Shove,1
Skywatch,1
Smart,1
Snow,1
Snow Plow,56
Spc,1
Sprin,3
Sprinter v,1
St,2
Stake,1
Stake or Rack,71
Station Wagon/Sport Utility Vehicle,216854
Stree,4
Street Cle,1
Street Swe,1
Subn,2
Subr,1
Subur,1
Sweep,1
TANK,16
TANKE,3
TAXI,28137
TF,1
TIR,1
TKTR,1
TL,1
TL TR,1
TLC,1
TOW T,29
TOW TRUCK,8
TOWER,3
TOWTR,2
TR-Trailer,1
TRAC,11
TRAC.,1
TRACK EXCA,1
TRACT,46
TRACTOR,3
TRAIL,87
TRAILEE,1
TRAILER,19
TRAILER/FL,1
TRALI,1
TRANS,3
TRK,12
TRL,9
TRLR,4
TRUCK,113
TRUCK COMM,1
TRUCK VAN,1
TRuck,1
TTAILER,1
Tanker,363
Taxi,27678
Tow,1
Tow T,7
Tow Truck,17
Tow Truck / Wrecker,606
Tow t,4
Tract,5
Tractor,1
Tractor Truck Diesel,3889
Tractor Truck Gasoline,708
Trail,22
Trailer,9
Tram,1
Truck,9
U HAU,2
U HAUL TRU,1
U-HAL,1
U-HAU,1
U-Hau,1
U.S. POSTA,1
UHAL,1
UHAUL,6
UHUAL,1
UNK,24
UNKN,1
UNKNO,42
UNKNOWN,16282
UNKOW,2
UPS M,1
UPS T,1
UPS TRUCK,1
UPS t,1
US,2
US MA,1
US PO,7
US POSTAL,2
US Po,3
USP M,1
USPOS,1
USPS,47
USPS # 487,1
USPS #7530,1
USPS MAIL,1
USPS POSTA,1
USPS TRUCK,6
USPS Truck,1
USPS truck,1
USPS/GOVT,1
USPS2,1
UT,4
UTIL,20
UTILI,27
UTILITY,1
UTILITY TR,2
UTILITY VE,2
UTILITY WH,1
UTLIT,1
Uhaul,1
Unk,1
Unkno,2
Unknown,2
Unkow,1
Utili,6
VAB,1
VAN,20571
VAN E,1
VAN T,6
VAN TRUCK,1
VAN W,1
VAN/B,1
VAN/T,2
VAN/TRUCK,2
VAV,2
VERIZ,1
VESPA,1
Van,4840
Van Camper,15
Van T,1
Van truck,1
Vanette,10
WAGON,9
WHEEL,1
WHIT,1
WHITE,2
WINNE,2
WORK,2
WORKH,1
Wagon,2
Well Driller,6
Wh Ford co,1
White,2
White ambu,1
Work,1
Work van,1
YALE,1
YELLO,6
YELLOWPOWE,1
YW PO,1
amb,3
ambu,10
ambul,60
ambulance,20
amulance,1
atv p,1
backh,3
backhoe,1
bobca,2
bobct,1
box,3
box t,12
box truck,2
boxtr,1
bulld,1
bus,18
cargo,1
carri,1
cater,2
cemen,2
cm,1
com,9
com v,1
comm,2
comme,9
commercial,1
con ed tru,1
const,2
couri,1
cross,1
del,1
deliv,9
delv,4
delviery,1
dhl t,1
dilevery t,1
dirt,2
dirtb,1
dodge,1
dp,1
dump,18
dump truck,2
dumps,1
e com,1
e sco,1
e tow,1
e-bik,1
east,1
ebike,1
elect,4
ems b,1
escavator,1
f15,1
fd tr,1
fdny,14
fdny ambul,1
fdny ems,1
fdny truck,1
fedx,1
fire,32
fire truck,9
firet,8
firetruck,4
flat,1
flatb,1
food,1
food truck,1
ford,3
ford econo,1
ford van,1
fork,6
forkl,5
forklift,4
forlift,1
freig,3
g scl,1
g spc,1
garba,8
gas scoote,1
gokar,1
golf,3
government,1
hi-lo,1
high,1
ice c,1
icecr,1
inter,1
jeep,2
kick scoot,1
ladde,1
limo,1
mack,2
mail,4
marke,1
mc,1
mcy,1
mini van,1
miniv,2
mopad,1
moped,11
moter,1
motor,6
movin,1
mta B,1
mta b,2
mtr s,1
na,1
nat grid t,1
none,1
nyc EMS,1
nyc d,1
nycha,1
nycta,1
nyfd,1
nypd,1
nyu s,1
oml,1
omni,1
omnib,1
omr,1
omt,1
other,1
p/sh,3
pas,3
passa,1
passe,2
pay loader,1
pc,1
pedic,1
pedicab,1
pick,9
pick up,1
picku,4
pickup,2
plow,1
post offic,1
posta,8
postal bus,1
postal ser,1
postal tru,2
postal van,1
power,3
prks,1
r/v,1
ram,1
range,1
red t,1
refg,1
renta,1
rmb,1
rmp,1
road,2
rv,2
sanit,6
sanitaion,1
sanitaton,1
schoo,15
scoo,1
scooc,1
scoot,11
scooter,5
seagr,1
sedan,3
self,4
semi,1
semi-,1
sgws,1
small,1
spec,2
st,1
stree,10
subn,8
subur,2
suburban,2
suv,2
sweep,1
tank,3
taxi,1
te,1
tk,3
tow,5
tow t,9
tow truck,1
tower,1
tr,4
trac,1
tract,13
tractor tr,1
trail,35
trailer,3
trk,2
trl,2
truck,26
uhaul,2
ukn,1
unk,8
unkno,14
unknown,2
unkow,1
ups t,1
us po,1
us postal,1
usps,13
usps truck,1
util,3
utili,8
utility,1
utility tr,1
vAN,1
van,220
van t,3
van w,1
wagon,2
white,1
winne,1
work,4
yello,1
yy,1
omm,1
�MBU,1
